flight_date,registration,hour,position_count,avg_altitude,min_altitude
2025-02-04,N622FB,3,1206,1718.5530679933665008,0
2025-02-04,N621FB,4,1660,1778.1777108433734940,1625
2025-02-04,N621FB,5,563,1790.7193605683836590,0
2025-02-04,N623FB,5,1434,1980.4044630404463040,0
2025-02-04,N622FB,23,1190,1757.8781512605042017,1500
2025-02-05,N622FB,0,183,1748.0874316939890710,1525
2025-02-05,N622FB,2,1237,1801.2530315278900566,1500
2025-02-05,N622FB,3,735,1792.8911564625850340,0
2025-02-05,N623FB,3,567,1793.8712522045855379,0
2025-02-05,N623FB,4,1381,1680.9015206372194062,1400
2025-02-05,N622FB,5,1103,1725.1586582048957389,0
2025-02-05,N623FB,5,608,1611.5131578947368421,0
2025-02-05,N622FB,23,654,1908.7920489296636086,0
2025-02-06,N622FB,0,776,1799.9355670103092784,0
2025-02-06,N622FB,2,1098,1836.7714025500910747,0
2025-02-06,N622FB,3,989,1803.7664307381193124,0
2025-02-06,N623FB,3,756,1728.0423280423280423,0
2025-02-06,N623FB,4,1412,1733.5162889518413598,1475
2025-02-06,N622FB,5,1360,2081.8566176470588235,0
2025-02-06,N623FB,5,115,1817.1739130434782609,0
2025-02-06,N622FB,22,52,1730.7692307692307692,0
2025-02-06,N622FB,23,1527,1818.8605108055009823,1550
2025-02-07,N622FB,0,436,2051.2041284403669725,0
2025-02-07,N622FB,1,719,1882.4756606397774687,0
2025-02-07,N622FB,2,1157,1652.4848746758859118,0
2025-02-07,N623FB,3,488,1715.4200819672131148,0
2025-02-07,N623FB,4,1501,1686.2591605596269154,1450
2025-02-07,N622FB,5,1322,1842.9462934947049924,0
2025-02-07,N623FB,5,698,1815.9742120343839542,0
2025-02-07,N623FB,22,137,1856.3868613138686131,0
2025-02-07,N623FB,23,1317,1899.0129081245254366,1475
2025-02-08,N623FB,0,262,1984.9236641221374046,0
2025-02-08,N621FB,3,774,1673.8372093023255814,0
2025-02-08,N621FB,4,1514,1695.5416116248348745,1450
2025-02-08,N621FB,5,361,1895.7756232686980609,0
2025-02-08,N623FB,5,1423,2022.8390723822909346,0
2025-02-08,N622FB,23,1314,1941.3622526636225266,0
2025-02-09,N622FB,0,489,1618.3537832310838446,0
2025-02-09,N622FB,2,1178,1849.5118845500848896,0
2025-02-09,N621FB,3,619,1861.8739903069466882,0
2025-02-09,N622FB,3,948,1656.7246835443037975,0
2025-02-09,N621FB,4,1364,1902.0527859237536657,1700
2025-02-09,N621FB,5,565,1854.8230088495575221,0
2025-02-09,N623FB,5,1370,2078.7226277372262774,0
2025-02-09,N623FB,23,1194,1794.7236180904522613,0
2025-02-10,N623FB,0,703,1839.9715504978662873,0
2025-02-10,N623FB,2,1289,1886.5981380915438324,0
2025-02-10,N623FB,3,982,1852.8767820773930754,0
2025-02-10,N625FB,3,522,1648.4674329501915709,0
2025-02-10,N625FB,4,1265,1722.1541501976284585,1300
2025-02-10,N623FB,5,1310,1987.4809160305343511,0
2025-02-10,N625FB,5,219,1747.9452054794520548,0
