hour,registration,unique_flights,position_records,avg_altitude,min_altitude,low_altitude_count,hover_count,total_hover_seconds
2024-09-15 02:00:00+00,N622FB,1,1098,1989.7540983606557377,1725,0,0,0
2024-09-15 03:00:00+00,N622FB,1,601,1914.9750415973377704,0,4,0,0
2024-09-15 03:00:00+00,N625FB,1,398,1937.7512562814070352,0,5,0,0
2024-09-15 04:00:00+00,N625FB,1,1068,1846.0674157303370787,1675,0,0,0
2024-09-15 05:00:00+00,N625FB,1,197,1852.9187817258883249,0,3,0,0
2024-09-15 06:00:00+00,N625FB,1,423,1960.1063829787234043,0,8,0,0
2024-09-15 07:00:00+00,N625FB,1,1004,1992.5547808764940239,1675,0,0,0
2024-09-15 08:00:00+00,N625FB,1,38,1731.5789473684210526,0,4,0,0
2024-09-15 15:00:00+00,N623FB,1,123,2070.9349593495934959,0,4,0,0
2024-09-15 16:00:00+00,N623FB,1,733,2145.2933151432469304,1600,0,0,0
2024-09-15 17:00:00+00,N623FB,1,29,1718.1034482758620690,0,1,0,0
2024-09-15 19:00:00+00,N624FB,1,653,2253.6370597243491577,0,5,0,0
2024-09-15 23:00:00+00,N624FB,1,893,2051.9876819708846585,0,2,0,0
2024-09-16 00:00:00+00,N624FB,1,733,2063.5402455661664393,0,3,0,0
2024-09-16 02:00:00+00,N624FB,1,877,2086.7160775370581528,0,7,0,0
2024-09-16 03:00:00+00,N623FB,1,412,1954.9757281553398058,0,10,0,0
2024-09-16 03:00:00+00,N624FB,1,832,1939.7536057692307692,0,4,0,0
2024-09-16 04:00:00+00,N623FB,1,884,1815.4694570135746606,1650,0,0,0
2024-09-16 05:00:00+00,N623FB,1,266,1903.3834586466165414,1625,0,0,0
2024-09-16 06:00:00+00,N623FB,1,149,1934.0604026845637584,0,10,0,0
2024-09-16 07:00:00+00,N623FB,1,1067,1826.4058106841611996,1550,0,0,0
2024-09-16 08:00:00+00,N623FB,1,46,1908.6956521739130435,0,1,0,0
2024-09-16 15:00:00+00,N622FB,1,1015,1920.8374384236453202,0,11,0,0
2024-09-16 16:00:00+00,N622FB,1,300,1867.2500000000000000,0,1,0,0
2024-09-16 20:00:00+00,N621FB,1,137,2004.5620437956204380,0,6,0,0
2024-09-16 23:00:00+00,N623FB,1,825,2021.5757575757575758,0,4,0,0
2024-09-17 00:00:00+00,N623FB,1,820,2075.6707317073170732,1675,0,0,0
2024-09-17 02:00:00+00,N623FB,1,843,1998.0427046263345196,0,8,0,0
2024-09-17 03:00:00+00,N622FB,1,463,1858.9632829373650108,0,6,0,0
2024-09-17 03:00:00+00,N623FB,1,805,1960.6521739130434783,0,2,0,0
2024-09-17 04:00:00+00,N622FB,1,1018,1755.3290766208251473,1525,0,0,0
2024-09-17 05:00:00+00,N621FB,1,645,2108.7596899224806202,0,6,0,0
2024-09-17 05:00:00+00,N622FB,1,275,1833.7272727272727273,1625,0,0,0
2024-09-17 06:00:00+00,N621FB,2,685,2232.4087591240875912,0,8,0,0
2024-09-17 08:00:00+00,N621FB,1,987,1973.5309017223910841,0,7,0,0
2024-09-17 09:00:00+00,N621FB,1,1110,1960.7882882882882883,1650,0,0,0
2024-09-17 10:00:00+00,N621FB,1,64,1899.2187500000000000,0,4,0,0
2024-09-17 15:00:00+00,N622FB,1,1037,1850.4339440694310511,0,11,0,0
2024-09-17 16:00:00+00,N622FB,1,628,1923.5668789808917197,1500,0,0,0
2024-09-17 23:00:00+00,N621FB,1,595,1993.7394957983193277,0,6,0,0
2024-09-18 00:00:00+00,N621FB,1,552,2063.4057971014492754,0,3,0,0
2024-09-18 02:00:00+00,N621FB,1,828,1942.8140096618357488,0,7,0,0
2024-09-18 03:00:00+00,N621FB,1,762,1877.8215223097112861,0,3,0,0
2024-09-18 03:00:00+00,N623FB,1,474,1873.5232067510548523,0,8,0,0
2024-09-18 04:00:00+00,N623FB,1,1108,1700.6543321299638989,1525,0,0,0
2024-09-18 05:00:00+00,N623FB,1,257,1818.7743190661478599,1550,0,0,0
2024-09-18 05:00:00+00,N624FB,1,980,2118.9030612244897959,0,7,0,0
2024-09-18 06:00:00+00,N623FB,1,475,1770.6315789473684211,0,4,0,0
2024-09-18 06:00:00+00,N624FB,1,892,1846.8329596412556054,0,4,0,0
2024-09-18 07:00:00+00,N623FB,1,726,1857.5068870523415978,1650,0,0,0
2024-09-18 08:00:00+00,N623FB,1,248,1843.1451612903225806,0,3,0,0
2024-09-18 08:00:00+00,N624FB,1,967,2084.8759048603929679,0,9,0,0
2024-09-18 09:00:00+00,N624FB,1,513,2201.1695906432748538,0,3,0,0
2024-09-18 14:00:00+00,N623FB,1,459,1770.3703703703703704,0,8,0,0
2024-09-18 15:00:00+00,N623FB,2,397,2151.0075566750629723,0,9,0,0
2024-09-18 16:00:00+00,N623FB,1,808,1964.4801980198019802,1550,0,0,0
2024-09-18 18:00:00+00,N621FB,1,1,0.00000000000000000000,0,1,0,0
2024-09-18 18:00:00+00,N623FB,1,197,1945.5583756345177665,0,17,0,0
2024-09-18 18:00:00+00,N624FB,1,335,2053.4328358208955224,0,3,0,0
2024-09-18 19:00:00+00,N621FB,1,94,1977.1276595744680851,1550,0,0,0
2024-09-18 19:00:00+00,N623FB,1,978,2075.2300613496932515,1350,0,0,0
2024-09-18 19:00:00+00,N624FB,1,113,1986.0619469026548673,0,1,0,0
2024-09-18 20:00:00+00,N623FB,1,160,1996.2500000000000000,0,3,0,0
2024-09-18 21:00:00+00,N622FB,1,3,0.00000000000000000000,0,3,0,0
2024-09-18 22:00:00+00,N622FB,1,113,2028.7610619469026549,0,8,0,0
2024-09-18 23:00:00+00,N622FB,1,971,2076.7250257466529351,1700,0,0,0
2024-09-19 00:00:00+00,N622FB,1,501,2066.6666666666666667,0,4,0,0
2024-09-19 02:00:00+00,N622FB,1,944,2120.8156779661016949,0,3,0,0
